Family,Collection,treatment,individual,sex,stripe1,stripe2,orange_total,elytrasize,DBL_2stripe,Meanref_2stripe,DBL_black,logDBL_black,Meanref_black,logref_black,DBL_1stripe,Meanref_1stripe,bodysize_mg,eclosionfluid, ,firststripe_prop,secondstripe_prop
3062,F34,control,20,female,13.27,6.07,19.34,47.92,10121.392,6646.1435,1995.503,3.300052385,1875.366,3.273086038,9824.85,6439.85175,145.9,15.7,0.403589316,0.276919866,0.126669449
3062,F34,control,25,male,10.89,4.02,14.91,42.22,8041.46,5443.9075,2188.73,3.340192191,1920.5275,3.28342053,10641.665,7017.96525,142.2,5.5,0.353150166,0.257934628,0.095215538
3067,F34,control,4,male,15.49,4.62,20.11,48.2,8466.89,5535.5225,3054.32,3.484914536,2873.0975,3.458350364,11072.11,7205.635,185.7,4.3,0.417219917,0.321369295,0.095850622
3067,F34,control,12,male,14.46,5.87,20.33,58.2,9093.61,6095.1575,1990.26,3.298909815,1750.3725,3.243130482,9335.77,6360.5125,218.4,2.9,0.349312715,0.248453608,0.100859107
3067,F34,control,17,female,17.08,7.21,24.29,48.79,9687.37,6433.105,2235.19,3.349314446,1863.1525,3.270248404,9030.34,6073.615,213.7,1,0.49784792,0.350071736,0.147776184
3067,F34,control,20,female,5.95,1.57,7.52,28.68,6036.44,4123.1725,1694.91,3.229146642,1657.855,3.219546543,12235.22,8328.75,85.9,12.4,0.262203626,0.207461646,0.05474198
3067,F34,control,23,male,7.28,2.81,10.09,31.03,9091.98,6075.775,2049.34,3.311614017,1948.35,3.289666976,12268.72,8785.2825,101.6,1.7,0.325169191,0.234611666,0.090557525
3071,F34,control,2,male,13.46,4.69,18.15,45.77,7100.82,4824.81,1303.06,3.114964413,1148.73,3.060217963,10641.35,7046.1975,136.2,15.1,0.396547957,0.294079091,0.102468866
3071,F34,control,3,male,12.94,4.22,17.16,46.51,7840.02,5357.83,1439.13,3.158100027,1285.625,3.109114309,9551.88,6321.6425,156.8,14.2,0.368952913,0.278219738,0.090733176
3071,F34,control,7,female,12.62,4.46,17.08,47.38,10398.11,6816.195,2207.18,3.343837752,1830.1675,3.262490839,11063.15,7249.745,155.5,25.4,0.360489658,0.266357113,0.094132545
