Family,Collection,treatment,individual,sex,firststripe_(mm),secondstripe_(mm),orange_total,elytrasize,Lum_2stripe,UV_2stripe,SW_2stripe,MW_2stripe,LW_2stripe,DBL_2stripe,Meanref_2stripe,Lum_black,UV_black,SW_black,MW_black,LW_black,DBL_black,Meanref_black,Lum_1stripe,UV_1stripe,SW_1stripe,MW_1stripe,LW_1stripe,DBL_1stripe,Meanref_1stripe,bodysize_mg,eclosionfluid,care_low_high,orange_prop,firststripe_prop,secondstripe_prop
40116,F34,control,17,male,13.96,4.61,18.57,49.80,8448.54,549.55,1662.75,7454.80,13064.99,8448.54,5683.02,1578.86,1094.92,1395.74,1947.81,1307.19,1578.86,1436.42,9327.86,581.54,1769.79,7843.14,15071.42,9327.86,6316.47,178.1,12.7,2,0.37,0.28,0.09
40124,F34,control,1,female,16.62,8.32,24.94,62.27,9389.57,631.45,1848.90,8530.61,14053.80,9389.57,6266.19,1517.20,1019.46,1420.80,1876.08,1224.47,1517.20,1385.21,9054.28,288.85,1620.26,7935.48,14146.59,9054.28,5997.79,176.8,24.8,2,0.40,0.27,0.13
40124,F34,control,4,female,14.54,5.63,20.17,48.37,9051.13,84.62,1815.13,8422.98,13230.00,9051.13,5888.18,1519.02,939.21,1271.64,1865.52,1317.80,1519.02,1348.54,11476.15,391.42,1993.05,10411.69,17243.21,11476.15,7509.84,142.1,27.1,2,0.42,0.30,0.12
40124,F34,control,6,male,22.08,9.90,31.98,61.77,8377.75,404.48,1614.86,7376.34,13002.69,8377.75,5599.59,1715.52,1048.25,1484.89,2035.81,1535.26,1715.52,1526.05,9075.75,557.70,1782.67,7658.83,14604.76,9075.75,6150.99,193.7,10.5,2,0.52,0.36,0.16
40124,F34,control,7,male,19.46,10.62,30.08,58.13,9547.14,406.08,1731.19,8493.32,14675.04,9547.14,6326.41,1577.26,930.07,1391.28,2006.87,1211.17,1577.26,1384.85,9484.51,326.14,1642.87,8388.52,14697.53,9484.51,6263.77,175.8,10.6,2,0.52,0.33,0.18
40124,F34,control,13,female,22.21,11.34,33.55,61.33,8571.52,197.15,1439.35,7543.97,13398.15,8571.52,5644.65,1768.86,917.55,1446.50,2166.87,1493.34,1768.86,1506.07,10291.98,623.74,1879.75,8923.53,16185.77,10291.98,6903.20,195.1,20.8,2,0.55,0.36,0.18
40124,F34,control,18,female,12.55,4.05,16.60,42.34,10914.12,580.73,2090.57,10239.18,15779.28,10914.12,7172.44,2076.62,1148.80,1698.36,2403.96,1950.20,2076.62,1800.33,14971.14,1222.23,3550.69,14136.11,21063.97,14971.14,9993.25,96.6,10.7,2,0.39,0.30,0.10
40124,F34,control,21,male,18.95,7.24,26.19,54.50,8941.69,283.36,1611.47,7866.56,13911.44,8941.69,5918.21,1726.95,969.63,1406.10,2032.10,1614.78,1726.95,1505.65,11304.91,705.07,2229.69,9940.86,17431.67,11304.91,7576.82,188.6,11.3,2,0.48,0.35,0.13
40124,F34,control,22,male,18.52,8.24,26.76,54.87,8489.52,186.62,1459.99,7529.24,13149.97,8489.52,5581.46,1920.77,819.67,1346.63,2177.00,1990.86,1920.77,1583.54,9307.98,308.48,1599.59,8070.87,14706.73,9307.98,6171.42,213.1,14.9,2,0.49,0.34,0.15
40124,F34,control,23,female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,204,29.5,2,NA,NA,NA
40124,F34,control,24,male,18.38,7.35,25.73,57.06,8432.25,559.57,1694.69,7532.79,12862.71,8432.25,5662.44,1722.71,1163.85,1542.99,2074.62,1469.26,1722.71,1562.68,10050.14,524.47,1940.96,8695.98,15799.05,10050.14,6740.11,208.7,24.3,2,0.45,0.32,0.13
40128,F34,control,2,female,18.61,6.59,25.20,65.88,8851.61,542.47,1768.14,7575.89,14050.96,8851.61,5984.37,2337.52,1030.39,1620.98,2409.27,2765.36,2337.52,1956.50,9963.60,622.29,2070.38,8292.33,16154.63,9963.60,6784.91,231.4,17.3,2,0.38,0.28,0.10
